language1,feature,language2,geo,unigram_cosine
Papiamentu,45,Acehnese,9.545941546018392,36.014003593266715
Polish,44,Acehnese,65.76093065034893,39.849857653302486
Ripuarian,49,Acehnese,64.34671708797582,-0.6593768459189684
Romanian,33,Acehnese,58.68986283848344,38.45766494465468
Romansh,44,Acehnese,58.21845831773956,35.28836009974309
Russian,44,Acehnese,71.4177848998413,29.71226174926952
Sakha,32,Acehnese,79.90306627407988,6.2772690015455135
Samoan,49,Acehnese,27.459313336124733,21.073171696329126
Sindhi,40,Acehnese,28.991378028648448,-10.889578999096994
Sinhalese,38,Acehnese,2.1213203435596424,-14.065245426840397
Slovak,39,Acehnese,61.518289963229634,55.16966303013886
Slovenian,42,Acehnese,57.27564927611035,20.00490028262952
Somali,36,Acehnese,3.5355339059327378,47.01836326816978
Sundanese,57,Acehnese,17.67766952966369,82.9496549911407
Swedish,38,Acehnese,83.08504678941934,83.80795112669787
Tajik,43,Acehnese,46.904749818754794,49.10180835420324
Tamil,38,Acehnese,7.7781745930520225,61.18261078463743
Tatar,38,Acehnese,70.47497585821209,-53.13597289313808
Telugu,40,Acehnese,14.849242404917497,38.680732986884145
Tetum,46,Acehnese,20.506096654409877,-8.943488256254168
Thai,51,Acehnese,14.849242404917497,-28.1740518522683
Tongan,51,Acehnese,37.71236166332967,58.56683937988803
Tsonga,47,Acehnese,41.71930009000631,57.059930575244785
Tswana,42,Acehnese,41.71930009000631,23.58741388377997
Tulu,37,Acehnese,10.253048327204938,83.32140966400948
Turkish,32,Acehnese,47.37615433949868,59.70289209104398
Turkmen,40,Acehnese,48.79036790187178,39.42579919213811
Ukrainian,39,Acehnese,61.518289963229634,17.82177508240546
Urdu,43,Acehnese,27.577164466275352,-24.46084200110742
Uyghur,38,Acehnese,48.79036790187178,6.965722534144734
Vepsian,46,Acehnese,77.07463914933368,44.39397619150205
Vietnamese,52,Acehnese,7.0710678118654755,33.54245075160844
Waray,43,Acehnese,9.192388155425117,26.717376677301505
Welsh,44,Acehnese,65.76093065034893,30.838622184510825
Wolof,46,Acehnese,13.788582233137676,22.06967921638397
Wu,45,Acehnese,37.00525488214313,127.87654935503834
Yoruba,51,Acehnese,3.5355339059327378,48.86686434012802
Zeelandic,39,Acehnese,65.05382386916237,75.20664032316085
Acehnese,44,Afrikaans,51.61879502661797,46.52640852207443
Alemannic,54,Afrikaans,112.42997820866105,177.82913742937848
Amharic,48,Afrikaans,57.982756057296896,-138.8348620232549
Armenian,45,Afrikaans,90.0382634711342,-138.44469116551636
Assamese,51,Afrikaans,80.61017305526642,170.3976194304159
Asturian,58,Afrikaans,105.0053570062023,177.57520047090526
Bashkir,58,Afrikaans,118.79393923933998,-54.96878607079613
Basque,53,Afrikaans,104.65180361560904,-133.953573273667
Bavarian,62,Afrikaans,113.13708498984761,176.8081981497636
Belarusian,59,Afrikaans,120.20815280171308,177.0552565077104
Bengali,54,Afrikaans,77.78174593052023,152.68040580182955
Bhojpuri,52,Afrikaans,80.61017305526642,30.424879524749848
Bosnian,52,Afrikaans,104.65180361560904,172.18349696925526
Breton,45,Afrikaans,111.72287142747452,174.3631014741621
Bulgarian,49,Afrikaans,103.94469683442249,163.67363709694038
Burmese,46,Afrikaans,73.53910524340094,145.7486788480063
Catalan,59,Afrikaans,102.88403666264267,177.2487943296692
Chuvash,51,Afrikaans,122.32947314527271,-65.08586509143376
Croatian,54,Afrikaans,106.06601717798213,176.39221891977832
Czech,63,Afrikaans,114.5512985522207,177.31498726403115
Danish,56,Afrikaans,123.03657992645927,168.92861432412923
Divehi,57,Afrikaans,49.73317694345855,28.637035728489522
Dutch,59,Afrikaans,115.61195872400052,177.53929107227464
Emilian-Romagnol,43,Afrikaans,106.77312395916867,174.93212517892485
Erzya,47,Afrikaans,118.79393923933998,113.804356633728
Estonian,55,Afrikaans,127.27922061357856,178.31800600180105
Faroese,56,Afrikaans,131.52186130069785,166.53084269952902
Finnish,58,Afrikaans,131.52186130069785,173.25110373359468
Gagauz,46,Afrikaans,109.36584882347222,35.64535003731928
Galician,53,Afrikaans,104.65180361560904,178.18596650972617
Georgian,49,Afrikaans,103.23759005323593,169.7712677827661
German,53,Afrikaans,100.40916292848975,179.214670786891
Gilaki,53,Afrikaans,96.63792676211436,-5.038695042771658
Greek,52,Afrikaans,92.984541726031,177.19741123379782
Gujarati,63,Afrikaans,76.36753236814714,-169.78790291034983
Hakka,53,Afrikaans,79.19595949289332,83.76086321663331
Hausa,52,Afrikaans,60.81118318204309,162.69181133767486
Hebrew,62,Afrikaans,88.74190103891172,176.34765804406655
Hindi,60,Afrikaans,79.19595949289332,-30.37110791427901
Hungarian,57,Afrikaans,110.30865786510141,169.3605665626847
Icelandic,61,Afrikaans,135.7645019878171,145.52315184406928
Indonesian,54,Afrikaans,35.11963679892715,169.11809971668148
Irish,49,Afrikaans,118.08683245815344,178.3101107992107
Japanese,52,Afrikaans,96.16652224137046,48.099512427791225
Javanese,55,Afrikaans,33.94112549695428,125.6090978105238
Kabiye,60,Afrikaans,57.511351536510574,-124.56225252975895
Kabyle,55,Afrikaans,95.45941546018392,137.56949269116168
Kannada,61,Afrikaans,63.63961030678928,178.4401821183677
Kapampangan,53,Afrikaans,65.52522838990627,160.51714913970142
Karachay-Balkar,53,Afrikaans,105.35891039679558,164.2245096872966
Kazakh,53,Afrikaans,114.5512985522207,-45.70812249513162
Khmer,54,Afrikaans,61.518289963229634,177.58859544711495
Kirghiz,57,Afrikaans,111.36931803688124,-43.28410147656104
Korean,54,Afrikaans,96.87362902255701,-71.03941686040734
Ladino,54,Afrikaans,100.40916292848975,179.37650352997318
Lao,52,Afrikaans,69.29646455628166,-175.6757729718572
Latvian,56,Afrikaans,124.45079348883236,177.61565273578907
Lezgian,49,Afrikaans,102.76618553249205,-108.0956778625246
Lithuanian,58,Afrikaans,121.62236636408618,156.7386328218267
Luganda,49,Afrikaans,44.54772721475249,168.8074408626353
Luxembourgish,54,Afrikaans,114.31559629177805,155.7129838265505
Macedonian,56,Afrikaans,102.76618553249205,163.8539625535526
Maithili,53,Afrikaans,80.61017305526642,-45.95554105002336
Malayalam,54,Afrikaans,57.982756057296896,-126.78070704035963
Maltese,54,Afrikaans,94.63445754884674,177.0295071324468
Manx,52,Afrikaans,120.44385506215573,169.52671953320333
Maori,53,Afrikaans,12.727922061357855,172.42326398349945
Marathi,61,Afrikaans,70.71067811865476,-150.9053792854607
Mazandarani,57,Afrikaans,95.45941546018392,58.108213300096416
Mingrelian,53,Afrikaans,103.94469683442249,125.28679843313797
Nahuatl,55,Afrikaans,70.71067811865476,155.7215411273138
Neapolitan,60,Afrikaans,101.70552536071222,131.9884783236876
Nepali,48,Afrikaans,83.43860018001261,-96.17670322843212
Occitan,50,Afrikaans,106.06601717798213,157.80481920204232
Ossetian,51,Afrikaans,104.65180361560904,125.92377883255348
Pangasinan,50,Afrikaans,66.35018630138485,14.903573245458063
Papiamentu,56,Afrikaans,61.16473657263636,179.04923585502226
Polish,56,Afrikaans,117.37972567696688,179.32054314203774
Ripuarian,59,Afrikaans,115.96551211459379,118.37763918669239
Romanian,65,Afrikaans,110.30865786510141,165.66961675629636
Romansh,59,Afrikaans,109.83725334435752,178.7623258188513
Russian,59,Afrikaans,123.03657992645927,177.23921982098634
Sakha,53,Afrikaans,131.52186130069785,95.59371881136204
Samoan,46,Afrikaans,24.159481690493234,177.6109161810831
Sindhi,50,Afrikaans,80.61017305526642,-161.153377565966
Sinhalese,58,Afrikaans,53.74011537017761,-144.28637244845936
Slovak,54,Afrikaans,113.13708498984761,175.89414709979815
Slovenian,58,Afrikaans,108.89444430272832,173.560734606642
Somali,50,Afrikaans,48.08326112068523,101.11017785477553
Sundanese,51,Afrikaans,33.94112549695428,158.3228843431038
Swedish,66,Afrikaans,134.7038418160373,-54.60217031315224
Tajik,58,Afrikaans,98.52354484537275,110.43607761587343
Tamil,62,Afrikaans,59.39696961966999,1.2784218330944217
Tatar,53,Afrikaans,122.09377088483008,-159.0780315790106
Telugu,60,Afrikaans,66.46803743153546,-123.97921342266159
Tetum,52,Afrikaans,31.11269837220809,141.62054374288132
Thai,54,Afrikaans,66.46803743153546,-158.28106503794146
Tongan,55,Afrikaans,13.906433363288295,128.11319001961687
Tsonga,50,Afrikaans,9.899494936611665,163.37277853042315
Tswana,54,Afrikaans,9.899494936611665,172.5259204648066
Tulu,63,Afrikaans,61.87184335382291,77.08626628942888
Turkish,56,Afrikaans,98.99494936611666,178.6114708113608
Turkmen,55,Afrikaans,100.40916292848975,155.84728551247022
Ukrainian,54,Afrikaans,113.13708498984761,175.6996970293427
Urdu,51,Afrikaans,79.19595949289332,-74.11207608718843
Uyghur,62,Afrikaans,100.40916292848975,92.00812918902055
Vepsian,53,Afrikaans,128.69343417595164,-78.39269363994846
Vietnamese,49,Afrikaans,58.68986283848344,178.21135944758169
Waray,54,Afrikaans,60.81118318204309,127.48131390268117
Welsh,49,Afrikaans,117.37972567696688,160.85129945312144
Wolof,55,Afrikaans,65.40737725975565,145.23590044466582
Wu,49,Afrikaans,88.6240499087611,127.01488785212973
Yoruba,45,Afrikaans,55.154328932550705,121.3617079139774
Zeelandic,55,Afrikaans,116.67261889578035,176.21239741237312
Acehnese,42,Alemannic,60.81118318204309,27.801473521828214
Afrikaans,54,Alemannic,112.42997820866105,177.82913742937848
Amharic,39,Alemannic,54.44722215136416,-143.37934360884938
Armenian,49,Alemannic,22.39171473752686,-148.75820290382399
Assamese,45,Alemannic,31.81980515339464,165.13866103774623
Asturian,56,Alemannic,7.424621202458749,175.73010405285282
Bashkir,57,Alemannic,6.363961030678928,-46.51297216740532
Basque,45,Alemannic,7.7781745930520225,-138.61843336824688
Bavarian,52,Alemannic,0.7071067811865476,172.15533651032078
Belarusian,52,Alemannic,7.7781745930520225,179.83460204121863
Bengali,51,Alemannic,34.64823227814083,146.24527329343164
Bhojpuri,51,Alemannic,31.81980515339464,13.147776879560432
Bosnian,59,Alemannic,7.7781745930520225,167.89683618137917
Breton,53,Alemannic,0.7071067811865476,166.54313142942567
Bulgarian,55,Alemannic,8.48528137423857,155.23733743658585
Burmese,49,Alemannic,38.890872965260115,146.4487271590645
Catalan,55,Alemannic,9.545941546018392,175.03257002833513
Chuvash,43,Alemannic,9.899494936611665,-56.37331109213392
Croatian,61,Alemannic,6.363961030678928,173.4010733424087
Czech,58,Alemannic,2.1213203435596424,175.5621029250343
Danish,54,Alemannic,10.606601717798213,162.71410656465804
Divehi,51,Alemannic,62.6968012652025,32.068911147240286
Dutch,51,Alemannic,3.181980515339464,174.34703906903383
Emilian-Romagnol,44,Alemannic,5.656854249492381,179.24404193336605
Erzya,60,Alemannic,6.363961030678928,106.1810704112659
Estonian,63,Alemannic,14.849242404917497,175.23663301629946
Faroese,47,Alemannic,19.091883092036785,161.3557662824363
Finnish,61,Alemannic,19.091883092036785,167.23685380572599
Gagauz,51,Alemannic,3.0641293851888505,48.44925350680827
Galician,47,Alemannic,7.7781745930520225,178.21173085615587
Georgian,44,Alemannic,9.192388155425117,173.27263555886557
German,48,Alemannic,12.020815280171307,178.2315331393473
Gilaki,44,Alemannic,15.792051446546706,-28.09941924513195
Greek,61,Alemannic,19.445436482630058,179.14307668912664
Gujarati,62,Alemannic,36.062445840513924,-168.36323454266716
Hakka,50,Alemannic,33.23401871576773,60.27669207430656
Hausa,47,Alemannic,51.61879502661797,155.09314811286222
Hebrew,57,Alemannic,23.68807716974934,179.67791728681013
Hindi,51,Alemannic,33.23401871576773,-43.80879293866275
Hungarian,60,Alemannic,2.1213203435596424,174.83098031237077
Icelandic,56,Alemannic,23.33452377915607,135.02864192401398
Indonesian,41,Alemannic,77.31034140973391,160.17114242984212
Irish,60,Alemannic,5.656854249492381,176.5767234520963
Japanese,47,Alemannic,16.263455967290593,56.61679189623109
Javanese,57,Alemannic,78.48885271170677,108.12344368776148
Kabiye,56,Alemannic,54.91862667215048,-137.13817677928006
Kabyle,57,Alemannic,16.97056274847714,125.11671817108136
Kannada,51,Alemannic,48.79036790187178,178.53350510608132
Kapampangan,50,Alemannic,46.90474981875479,146.94162166050822
Karachay-Balkar,50,Alemannic,7.0710678118654755,170.57679366493835
Kazakh,53,Alemannic,2.1213203435596424,-32.75225598365688
Khmer,43,Alemannic,50.91168824543142,178.58329951912432
Kirghiz,61,Alemannic,1.0606601717798212,-34.065323798283345
Korean,48,Alemannic,15.556349186104045,-60.56170060197065
Ladino,50,Alemannic,12.020815280171307,178.3391498945683
Lao,52,Alemannic,43.1335136523794,-177.020011076255
Latvian,50,Alemannic,12.020815280171307,178.55955294313944
Lezgian,46,Alemannic,9.663792676169004,-98.83189016791137
Lithuanian,53,Alemannic,9.192388155425117,156.65795802284288
Luganda,52,Alemannic,67.88225099390856,165.11965629011524
Luxembourgish,51,Alemannic,1.8856180831169822,149.65405807778328
Macedonian,59,Alemannic,9.663792676169004,156.80050285824893
Maithili,51,Alemannic,31.81980515339464,-31.16612720695663
Malayalam,47,Alemannic,54.44722215136416,-123.5288536984482
Maltese,49,Alemannic,17.7955206598143,173.1889525515141
Manx,49,Alemannic,8.013876853494683,171.48436069145706
Maori,49,Alemannic,125.15790027001891,168.4010573094942
Marathi,54,Alemannic,41.71930009000631,-148.45737763486727
Mazandarani,56,Alemannic,16.97056274847714,34.693333034441956
Mingrelian,49,Alemannic,8.48528137423857,134.1598775450396
Nahuatl,55,Alemannic,41.71930009000631,155.00807723854945
Neapolitan,62,Alemannic,10.724452847948825,120.61960019968592
Nepali,54,Alemannic,28.991378028648448,-92.59601306261088
Occitan,55,Alemannic,6.363961030678928,147.80985928447146
Ossetian,44,Alemannic,7.7781745930520225,115.29795116347606
Pangasinan,49,Alemannic,46.07979190727622,-8.082183447072142
Papiamentu,49,Alemannic,51.2652416360247,178.49232441135683
Polish,61,Alemannic,4.949747468305833,178.1103232276729
Ripuarian,55,Alemannic,3.5355339059327378,114.70833872075764
Romanian,67,Alemannic,2.1213203435596424,160.31377814493172
Romansh,50,Alemannic,2.5927248643035297,179.2541401864041
Russian,60,Alemannic,10.606601717798213,179.19738350592422
Sakha,50,Alemannic,19.091883092036785,110.4964541560224
Samoan,46,Alemannic,88.27049651816782,177.22388246108707
Sindhi,49,Alemannic,31.81980515339464,-162.9086080078276
Sinhalese,45,Alemannic,58.68986283848344,-146.57630421787744
Slovak,52,Alemannic,0.7071067811865476,172.6985578108619
Slovenian,56,Alemannic,3.5355339059327378,170.31764996278685
Somali,42,Alemannic,64.34671708797582,89.0079777737715
Sundanese,51,Alemannic,78.48885271170677,145.59585143657776
Swedish,48,Alemannic,22.273863607376246,-72.00680943565054
Tajik,43,Alemannic,13.90643336328829,110.73249360755827
Tamil,45,Alemannic,53.033008588991066,-0.4540324148689191
Tatar,48,Alemannic,9.663792676169004,-163.67504321676606
Telugu,50,Alemannic,45.96194077712559,-131.8872412267258
Tetum,54,Alemannic,81.31727983645297,139.0759599217946
Thai,45,Alemannic,45.96194077712559,-153.37580415254823
Tongan,50,Alemannic,98.52354484537275,116.33844348523897
Tsonga,58,Alemannic,102.5304832720494,156.7451568857224
Tswana,48,Alemannic,102.5304832720494,171.1521134315037
Tulu,61,Alemannic,50.55813485483815,69.49356692031418
Turkish,51,Alemannic,13.435028842544403,173.5685539909156
Turkmen,47,Alemannic,12.020815280171307,160.24248410965436
Ukrainian,58,Alemannic,0.7071067811865476,178.86559612872864
Urdu,47,Alemannic,33.23401871576773,-85.39970250142635
Uyghur,54,Alemannic,12.020815280171307,102.06029343872112
Vepsian,53,Alemannic,16.263455967290593,-75.19422093947605
Vietnamese,46,Alemannic,53.74011537017761,175.3602369576769
Waray,53,Alemannic,51.61879502661797,114.83697008312114
Welsh,50,Alemannic,4.949747468305833,157.4910896458903
Wolof,49,Alemannic,47.02260094890541,135.64407427146918
Wu,61,Alemannic,23.80592829989996,107.96691960512355
Yoruba,50,Alemannic,57.27564927611035,107.84548050938614
Zeelandic,51,Alemannic,4.242640687119285,168.92193470647675
Acehnese,38,Amharic,6.363961030678928,12.706397691328013
Afrikaans,48,Amharic,57.982756057296896,-138.8348620232549
Alemannic,39,Amharic,54.44722215136416,-143.37934360884938
Armenian,51,Amharic,32.0555074138373,92.32075763216623
Assamese,56,Amharic,22.627416997969522,-150.08125018336978
Asturian,51,Amharic,47.02260094890541,-154.7751674798692
Bashkir,51,Amharic,60.81118318204309,123.82661717254283
Basque,50,Amharic,46.66904755831214,173.03079886568943
Bavarian,47,Amharic,55.154328932550705,-137.3751777576644
Belarusian,45,Amharic,62.22539674441618,-145.11795023970035
Bengali,49,Amharic,19.79898987322333,-146.71174072482106
Bhojpuri,45,Amharic,22.627416997969522,-68.26169641436056
Bosnian,48,Amharic,46.66904755831214,-157.7263533390954
Breton,57,Amharic,53.74011537017761,-138.82660136933146
Bulgarian,49,Amharic,45.96194077712559,-143.01328557777066
Burmese,45,Amharic,15.556349186104045,-56.152314274956495
Catalan,41,Amharic,44.90128060534577,-154.0176969207691
Chuvash,42,Amharic,64.34671708797582,125.83772489144151
Croatian,44,Amharic,48.08326112068523,-153.88792570012546
Czech,56,Amharic,56.568542494923804,-151.50947489567253
Danish,47,Amharic,65.05382386916237,-155.64059657370095
Divehi,50,Amharic,8.24957911383834,70.9548460467309
Dutch,42,Amharic,57.62920266670363,-148.71081571062732
Emilian-Romagnol,51,Amharic,48.79036790187178,-149.210767821797
Erzya,46,Amharic,60.81118318204309,-48.358719888052214
Estonian,41,Amharic,69.29646455628166,-143.87136958691033
Faroese,44,Amharic,73.53910524340094,-155.88257881771662
Finnish,48,Amharic,73.53910524340094,-137.5007036594987
Gagauz,46,Amharic,51.38309276617531,43.34091391822048
Galician,41,Amharic,46.66904755831214,-147.82067034146485
Georgian,48,Amharic,45.254833995939045,-111.34100791746697
German,45,Amharic,42.42640687119285,-146.82674391530057
Gilaki,52,Amharic,38.65517070481745,-2.9462612823786265
Greek,43,Amharic,35.0017856687341,-134.90548694003428
Gujarati,56,Amharic,18.384776310850235,164.16577952597868
Hakka,48,Amharic,21.213203435596427,-14.579678282982089
Hausa,48,Amharic,2.8284271247461903,-156.67806633232306
Hebrew,57,Amharic,30.759144981614817,-144.5224587644263
Hindi,57,Amharic,21.213203435596427,-45.95932610149615
Hungarian,52,Amharic,52.32590180780452,-121.75497182398834
Icelandic,46,Amharic,77.78174593052023,-148.41817167114235
Indonesian,35,Amharic,22.863119258369753,-139.7341268727136
Irish,45,Amharic,60.10407640085654,-148.14725646380367
Japanese,44,Amharic,38.18376618407357,43.76405024005607
Javanese,43,Amharic,24.041630560342615,-75.00856424377037
Kabiye,45,Amharic,0.4714045207863172,63.32326246169277
Kabyle,46,Amharic,37.476659402887016,-139.8004514451609
Kannada,58,Amharic,5.656854249492381,-131.479755472494
Kapampangan,43,Amharic,7.542472332609367,-121.44766325795997
Karachay-Balkar,55,Amharic,47.37615433949868,-121.30797018576723
Kazakh,48,Amharic,56.568542494923804,107.95503838640168
Khmer,33,Amharic,3.5355339059327378,-152.41491928359625
Kirghiz,48,Amharic,53.386561979584336,115.97341258367521
Korean,49,Amharic,38.890872965260115,127.68396783904701
Ladino,54,Amharic,42.42640687119285,-141.0641707675902
Lao,41,Amharic,11.313708498984761,156.3395064987942
Latvian,51,Amharic,66.46803743153546,-130.21583977262142
Lezgian,46,Amharic,44.783429475195156,149.66022713998464
Lithuanian,46,Amharic,63.63961030678928,-71.22941984348056
Luganda,39,Amharic,13.435028842544403,-141.27341072231565
Luxembourgish,48,Amharic,56.33284023448114,-132.97839662774214
Macedonian,55,Amharic,44.783429475195156,-154.098151973001
Maithili,51,Amharic,22.627416997969522,78.5788416469662
Malayalam,55,Amharic,0,169.7601834968481
Maltese,54,Amharic,36.65170149154986,-150.96991704734643
Manx,53,Amharic,62.46109900485884,-106.53558299573712
Maori,35,Amharic,70.71067811865476,-158.02184657180646
Marathi,58,Amharic,12.727922061357855,171.8436834314736
Mazandarani,43,Amharic,37.476659402887016,-21.741737866787208
Mingrelian,44,Amharic,45.96194077712559,-52.801980762095546
Nahuatl,40,Amharic,12.727922061357855,-75.15846920047325
Neapolitan,37,Amharic,43.72276930341533,-108.80498214111093
Nepali,52,Amharic,25.45584412271571,115.32075432101027
Occitan,45,Amharic,48.08326112068523,-138.7768374468209
Ossetian,54,Amharic,46.66904755831214,-144.01337584260455
Pangasinan,43,Amharic,8.367430244087952,78.43928213285672
Papiamentu,54,Amharic,3.181980515339464,-145.24677147114195
Polish,36,Amharic,59.39696961966999,-133.66884756472126
Ripuarian,55,Amharic,57.982756057296896,-167.60228075695045
Romanian,43,Amharic,52.32590180780452,-158.88393008114411
Romansh,45,Amharic,51.85449728706063,-148.47851636761848
Russian,47,Amharic,65.05382386916237,-134.73002852843166
Sakha,53,Amharic,73.53910524340094,-35.483175761771676
Samoan,28,Amharic,33.823274366803666,-145.69591010905097
Sindhi,51,Amharic,22.627416997969522,174.88774977692276
Sinhalese,50,Amharic,4.242640687119285,172.27581788305577
Slovak,50,Amharic,55.154328932550705,-112.39287878450398
Slovenian,44,Amharic,50.91168824543142,-145.16512739420656
Somali,42,Amharic,9.899494936611665,-134.56154556121308
Sundanese,41,Amharic,24.041630560342615,-133.93630073697406
Swedish,47,Amharic,76.7210857587404,64.2490822016404
Tajik,47,Amharic,40.540788788075865,-28.805932038690916
Tamil,58,Amharic,1.4142135623730951,107.60677386961089
Tatar,53,Amharic,64.11101482753317,133.9387909073589
Telugu,60,Amharic,8.48528137423857,57.638380272284394
Tetum,36,Amharic,26.870057685088806,-169.010750309825
Thai,37,Amharic,8.48528137423857,165.9292369437819
Tongan,44,Amharic,44.0763226940086,-143.42302199868368
Tsonga,45,Amharic,48.08326112068523,-155.55217854144294
Tswana,48,Amharic,48.08326112068523,-163.54570708102924
Tulu,55,Amharic,3.8890872965260113,37.803908036991444
Turkish,51,Amharic,41.012193308819754,-139.69850323842948
Turkmen,47,Amharic,42.42640687119285,-90.58742906276231
Ukrainian,49,Amharic,55.154328932550705,-136.5630793855804
Urdu,51,Amharic,21.213203435596427,36.713739828870466
Uyghur,54,Amharic,42.42640687119285,-11.732796623449254
Vepsian,43,Amharic,70.71067811865476,142.75092389165212
Vietnamese,37,Amharic,0.7071067811865476,-144.26722280952524
Waray,48,Amharic,2.8284271247461903,-124.40847126421914
Welsh,49,Amharic,59.39696961966999,-166.90356150755545
Wolof,43,Amharic,7.424621202458749,-137.24642808152046
Wu,42,Amharic,30.641293851464198,-48.458311822045324
Yoruba,30,Amharic,2.8284271247461903,-136.80971150976862
Zeelandic,44,Amharic,58.68986283848344,-122.26292525186217
Acehnese,38,Armenian,38.41946844451623,-24.83183833140891
Afrikaans,45,Armenian,90.0382634711342,-138.44469116551636
Alemannic,49,Armenian,22.39171473752686,-148.75820290382399
Amharic,51,Armenian,32.0555074138373,92.32075763216623
Assamese,47,Armenian,9.428090415867779,-111.756597378868
Asturian,47,Armenian,14.967093535068111,-127.69044346319494
Bashkir,58,Armenian,28.755675768205787,-10.699703215533644
Basque,49,Armenian,14.613540144474838,98.010517430452
Bavarian,47,Armenian,23.098821518713407,-135.01006780551953
Belarusian,57,Armenian,30.169889330578883,-151.30145860039065
Bengali,59,Armenian,12.256517540613968,-97.70670388701178
