"","language","Slope1","Slope2","Slope3","Slope4","Slope5"
"24","Armenian",-0.00512480880602282,0.000640706563811317,0.000636631037043993,-0.000686269503100089,-0.0115055065345933
"25","Bashkir",-0.00375259042264032,-0.00090528149038722,0.00153513620133162,0.00138143865079783,0.0116599199325215
"26","Bhojpuri",0.00470025492744067,0.00263889086709154,-0.00334617422688364,-0.0032671695926938,0.0127834490560385
"27","Breton",0.000624881773650787,0.0011236503418087,-0.00136574601086189,-0.000888589038570189,0.019215397355946
"28","Burmese",0.00205116492191872,0.000363869811132841,-0.000842537012916913,0.000972926061769401,0.0165272450081476
"29","Catalan",0.0179652060227685,-0.000270437717308927,-0.000522737519878733,-7.29992163691605e-05,0.0198140990289379
"30","Chuvash",0.000864405910999922,-0.000355452141997328,0.00218465144818682,0.000215534429165178,0.00732787439699862
"31","Czech",0.000500188233954641,0.00150717151572809,-0.000755471357477891,-0.000593961159235956,0.0195546546408619
"32","Estonian",-0.00103092069450506,-0.00112267817402732,-0.00164810969569248,-0.00121826627242087,0.0189238216069779
"33","Finnish",-0.0046777309707337,-0.00311637069643958,-0.00274755684430852,-0.00434106616693523,0.0221238938404681
"34","Georgian",-0.000800727745097569,-0.00192680425009829,-0.00173775749650279,0.000576458925779381,0.0189983546846617
"35","Gujarati",-0.0120041456920435,-0.000258062449918032,0.00024902768751682,0.000668288871881263,0.00492240305325427
"36","Hausa",-0.00699352321381936,0.00380560137971643,-0.00152096720066045,-0.00136933042337278,0.00755693977109977
"37","Hungarian",0.00251532223175786,0.000434190457898923,7.39269844480296e-05,-0.00114048721227404,0.0145699391653678
"38","Irish",0.0120365633434388,-0.00072687892064549,-0.000677428060362596,-0.000811696880053042,0.0203212624204951
"39","Japanese",0.0144886367952421,-0.00251606414642867,0.000340353153566715,-0.00266094999134512,0.0203040492418911
"40","Kabyle",-0.0144764798176945,0.00172397844898817,0.00011668824273419,-0.00136600323623512,0.0194138491912939
"41","Kannada",0.000119310243966443,-0.000923606717913192,-0.000678401126852827,-0.00112970547550948,0.0226216047558517
"42","Karachay-Balkar",-0.00559549718635002,-0.00849012770704881,0.00177422683436235,0.000890332376453346,0.0170248121587879
"43","Korean",-0.002428792220058,-0.000794990520072869,-5.11409366986051e-05,-0.00213390730479176,-0.00743860266122903
"44","Lao",-0.00533127093816082,-0.00240959822941789,-0.00105941132627221,-0.00381641409782919,0.0127103938522398
"45","Latvian",0.000685902688526603,0.000733283122137565,-0.00109701650736438,-0.0016642379812562,0.0190902156171331
"46","Lezgian",-0.00200839681152234,0.00220203270267108,-0.00287679069975297,-0.00543462574229338,-0.00348841870558442
"47","Lithuanian",-0.000969604934799375,-0.00192012431419646,-0.000395640013828459,-0.000934689031603516,0.0254763830526322
"48","Maithili",0.0022553812279588,-0.00129229890925538,-0.00272010252430916,-0.00122781966649325,0.00103183710081356
"49","Malayalam",0.00492932237980698,-0.00287985097226404,-0.00336143622157738,-0.000509082778848302,0.0110348570524286
"50","Maori",-0.00406111710262597,0.00261121117936437,-0.000394572820651896,0.00160553201989873,0.026545013402359
"51","Marathi",0.00059072904091972,-0.00378261095821308,-0.000331272724412874,-0.00448323891848258,0.0124061042832327
"52","Ossetian",-0.0134695092310233,-0.00216731564434266,3.33844634214759e-05,0.00259102545887091,0.0130534998945263
"53","Polish",-0.0037316287690772,-0.000214833133369811,-0.00110545489950409,0.000547593578128059,0.0200353996618072
"54","Romansh",0.0106808164092658,-2.424026153573e-05,-0.00276125015998139,0.000368178496120044,0.0309613847194316
"55","Sakha",0.00165308636066748,-0.00104660710856093,0.00103682962781612,0.00107067083390864,0.00945038441345016
"56","Samoan",0.00780638657593849,0.000413623404220382,0.00140588792746526,0.000679398805216198,0.0241373501024652
"57","Somali",-0.0151106453535238,0.000138082528872634,-0.000562727589393429,0.00077494442421076,0.0264624259625172
"58","Sundanese",-0.00521333222273522,0.000358018556384751,-0.000415498576559821,-0.000997701158954801,0.0227808436342813
"59","Tajik",-0.000398080695769494,-0.00271234609277683,-0.00188271745654342,-0.00177316701404631,0.0177839495965836
"60","Tamil",-0.00183104096009553,0.000389603766319892,-0.00274108627209189,-0.00205594459632136,0.0117726013149338
"61","Tatar",-0.00292314466574443,0.000341027169988815,-0.000894480579471121,-0.00340979080805375,0.010041360971173
"62","Telugu",-0.0053407556942161,0.000987359282578966,0.00237993282596147,-0.00375414874577595,0.0128434073422083
"63","Tetum",0.000696825252613192,0.00112720113733187,-0.0011605907681386,0.000422407270108192,0.00342357213799649
"64","Thai",-0.00507899136068758,0.00113068622579668,0.00200024379979234,-0.000900959752949501,0.0100667147274474
"65","Tulu",0.00638169790597945,0.00691379563889377,0.00229075585616922,-0.00675288209455995,-0.00137729091952884
"66","Turkish",-0.00357428851982773,-0.000412108589367117,-0.000248962941153224,-0.00207442453052464,0.0125898002958113
"67","Turkmen",-0.00386631862175357,-0.00533321471636882,-0.00213432431220998,0.00268002429099077,0.0163307758455026
"68","Welsh",0.00473563603209444,0.00121134441518494,-0.000242167519092291,0.000234990415058669,0.0190230625984001
"69","Yoruba",-0.0010231293901852,0.000741318069696207,-0.000129994445757146,-0.00122564575174083,0.0163320963748952
